DATE,GASREGCOVM,TRANSIT,TRFVOLUSM227NFWA
2000-01-01,1.279,724934,203442
2000-02-01,1.371,756536,199261
2000-03-01,1.498,843730,232490
2000-04-01,1.437,757458,227698
2000-05-01,1.456,818246,242501
2000-06-01,1.612,793911,242963
2000-07-01,1.529,743746,245140
2000-08-01,1.439,787064,247832
2000-09-01,1.525,802516,227899
2000-10-01,1.508,851255,236491
2000-11-01,1.495,816120,222819
2000-12-01,1.418,755040,218390
2001-01-01,1.427,800293,209685
2001-02-01,1.431,761213,200876
2001-03-01,1.384,846702,232587
2001-04-01,1.517,803744,232513
2001-05-01,1.654,850680,245357
2001-06-01,1.548,807301,243498
2001-07-01,1.340,785014,250363
2001-08-01,1.386,809941,253274
2001-09-01,1.506,768513,226312
2001-10-01,1.274,871470,241050
2001-11-01,1.139,820117,230511
2001-12-01,1.072,756221,229584
2002-01-01,1.094,794010,215215
2002-02-01,1.090,756102,208237
2002-03-01,1.221,820151,236070
2002-04-01,1.362,824757,237226
2002-05-01,1.353,838274,251746
2002-06-01,1.341,772040,247868
2002-07-01,1.364,782849,256392
2002-08-01,1.358,781609,258666
2002-09-01,1.363,805016,233625
2002-10-01,1.427,877109,245556
2002-11-01,1.385,788746,230648
2002-12-01,1.348,754257,234260
2003-01-01,1.424,778679,218534
2003-02-01,1.582,732135,203677
2003-03-01,1.636,820157,236679
2003-04-01,1.517,810703,239415
2003-05-01,1.438,799984,253244
2003-06-01,1.452,754298,252145
2003-07-01,1.480,767411,262105
2003-08-01,1.588,745756,260687
2003-09-01,1.616,807125,237451
2003-10-01,1.513,830771,254048
2003-11-01,1.474,724971,233698
2003-12-01,1.448,758869,238538
2004-01-01,1.555,740829,222450
2004-02-01,1.615,750265,213709
2004-03-01,1.689,843276,251403
2004-04-01,1.756,803337,250968
2004-05-01,1.945,781133,257235
2004-06-01,1.910,784558,257383
2004-07-01,1.863,754430,265969
2004-08-01,1.842,772963,262836
2004-09-01,1.841,814446,243515
2004-10-01,1.954,845387,254496
2004-11-01,1.932,797405,239796
2004-12-01,1.800,767658,245029
2005-01-01,1.811,756467,224072
2005-02-01,1.886,750973,219970
2005-03-01,2.063,842424,253182
2005-04-01,2.211,816425,250860
2005-05-01,2.114,806149,262678
2005-06-01,2.123,795101,263816
2005-07-01,2.247,753939,267025
2005-08-01,2.449,808031,265323
2005-09-01,2.862,858809,242240
2005-10-01,2.689,858662,251419
2005-11-01,2.222,825130,243056
2005-12-01,2.174,760996,245787
2006-01-01,2.300,793138,233282
2006-02-01,2.249,761980,220711
2006-03-01,2.413,874469,256623
2006-04-01,2.719,806944,250644
2006-05-01,2.831,870445,263370
2006-06-01,2.808,827752,263782
2006-07-01,2.923,790273,263421
2006-08-01,2.910,840294,265206
2006-09-01,2.501,850328,245605
2006-10-01,2.214,907084,257939
2006-11-01,2.211,851564,245346
2006-12-01,2.284,804029,248187
2007-01-01,2.191,838203,233621
2007-02-01,2.235,796569,219232
2007-03-01,2.503,934752,259638
2007-04-01,2.787,884098,252595
2007-05-01,3.119,993437,267574
2007-06-01,3.024,876764,265374
2007-07-01,2.947,860196,267106
2007-08-01,2.777,908061,271225
2007-09-01,2.817,903028,245965
2007-10-01,2.791,946754,261423
2007-11-01,3.064,870712,245787
2007-12-01,2.984,808452,240281
2008-01-01,3.018,852130,232920
2008-02-01,3.016,835901,221336
2008-03-01,3.215,889940,252343
2008-04-01,3.421,908295,252088
2008-05-01,3.735,912568,261466
2008-06-01,3.989,884081,257484
2008-07-01,4.002,910651,261600
2008-08-01,3.740,890570,260609
2008-09-01,3.709,929094,239607
2008-10-01,3.010,971677,255848
2008-11-01,2.099,839026,236465
2008-12-01,1.669,835899,241742
2009-01-01,1.772,827360,225529
2009-02-01,1.892,806287,217643
2009-03-01,1.937,897860,249741
2009-04-01,2.021,874039,251374
2009-05-01,2.240,856958,258276
2009-06-01,2.597,848878,258395
2009-07-01,2.478,843229,264472
2009-08-01,2.562,825429,260297
2009-09-01,2.480,875511,241970
2009-10-01,2.500,917949,252209
2009-11-01,2.614,830535,237264
2009-12-01,2.568,815176,239593
2010-01-01,2.678,788830,220839
2010-02-01,2.603,746114,210635
2010-03-01,2.742,893899,254238
2010-04-01,2.818,869986,253936
2010-05-01,2.795,853057,256927
2010-06-01,2.684,842674,260083
2010-07-01,2.679,819152,265315
2010-08-01,2.683,844979,263837
2010-09-01,2.678,864777,244682
2010-10-01,2.766,888591,256395
2010-11-01,2.815,837848,239579
2010-12-01,2.951,812769,240800
2011-01-01,3.058,793606,223790
2011-02-01,3.168,780318,213463
2011-03-01,3.509,907771,253124
2011-04-01,3.746,856803,249578
2011-05-01,3.849,880563,254083
2011-06-01,3.628,861412,258350
2011-07-01,3.614,824766,260175
2011-08-01,3.612,843294,260526
2011-09-01,3.573,891667,242062
2011-10-01,3.400,919419,251906
2011-11-01,3.330,862730,238535
2011-12-01,3.220,839221,244810
2012-01-01,3.330,842815,227527
2012-02-01,3.517,859341,218196
2012-03-01,3.774,913305,256166
2012-04-01,3.837,869426,249394
2012-05-01,3.643,899825,260774
2012-06-01,3.465,851240,260376
2012-07-01,3.379,848428,260244
2012-08-01,3.668,893072,264379
2012-09-01,3.801,876994,238867
2012-10-01,3.653,924377,253574
2012-11-01,3.380,862515,240361
2012-12-01,3.256,824189,238709
2013-01-01,3.255,864277,229419
2013-02-01,3.605,813156,215803
2013-03-01,3.648,888513,253026
2013-04-01,3.501,907511,252064
2013-05-01,3.565,908338,263406
2013-06-01,3.576,851486,259980
2013-07-01,3.515,868341,263946
2013-08-01,3.515,888310,268061
2013-09-01,3.474,900750,242536
2013-10-01,3.285,972481,258748
2013-11-01,3.186,862513,240055
2013-12-01,3.209,837436,241237
2014-01-01,3.252,831824,226413
2014-02-01,3.305,812062,213949
2014-03-01,3.474,912986,253424
2014-04-01,3.590,920640.0,256736
2014-05-01,3.601,923714.0,266237
2014-06-01,3.626,874436.0,263459
2014-07-01,3.539,886021,270053
2014-08-01,3.425,887253,268831
2014-09-01,3.354,931104,247688
2014-10-01,3.120,986786,265144
2014-11-01,2.875,841908,241451
2014-12-01,2.488,864316,252271
2015-01-01,2.046,818017,233498
2015-02-01,2.152,779983,217220
2015-03-01,2.352,907646,258017
2015-04-01,2.369,901828,262817
2015-05-01,2.578,871727,270839
2015-06-01,2.700,878666,270574
2015-07-01,2.666,890344,278372
2015-08-01,2.522,840937,272209
2015-09-01,2.275,897493,255090
2015-10-01,2.230,953141,268469
2015-11-01,2.088,848427,248843
2015-12-01,1.946,850726,259424
2016-01-01,1.843,796025,239679
2016-02-01,1.681,832503,223011
2016-03-01,1.895,907384,265147
2016-04-01,2.027,871083,269653
2016-05-01,2.199,879877,277972
2016-06-01,2.303,867550,276991
2016-07-01,2.157,809114,285160
2016-08-01,2.119,864510,279213
2016-09-01,2.161,884140,262039
2016-10-01,2.186,889002,275610
2016-11-01,2.105,839892,255154
2016-12-01,2.192,807517,264778
2017-01-01,2.285,802693,242600.0
2017-02-01,2.227,777821,225644.0
2017-03-01,2.243,886230,268343.0
2017-04-01,2.340,834677,272864.0
2017-05-01,2.303,875749,281264.0
2017-06-01,2.257,842737,280290.0
2017-07-01,2.211,790814,288566.0
2017-08-01,2.297,837928,282558.0
2017-09-01,2.570,844867,265212.0
2017-10-01,2.43,910849,278888.0
2017-11-01,2.474,831770,258159.0
2017-12-01,2.388,773762,267958.0
2018-01-01,2.467,788672,244736.0
2018-02-01,2.488,766031,227759.0
2018-03-01,2.488,841125,270705.0
2018-04-01,2.652,829115,275127.0
2018-05-01,2.808,857964,283713.0
2018-06-01,2.802,822283,282648.0
2018-07-01,2.77,797080.0,290989.0
2018-08-01,2.768,833069.0,284989.0
2018-09-01,2.769,816289.0,267434.0
2018-10-01,2.785,921343,281382.0
2018-11-01,2.561,812423,260473.0
2018-12-01,2.263,763255,270370.0
2019-01-01,2.145,773669,248927.0
2019-02-01,2.223,740735,231791.0
2019-03-01,2.443,832480,272379.0
2019-04-01,2.694,853038,273413.0
2019-05-01,2.731,861455,289711.0
2019-06-01,2.601,800261,281359.0
2019-07-01,2.64,822014.0,291520.0
2019-08-01,2.521,835988.0,293308.0
2019-09-01,2.489,846274.0,273319.0
2019-10-01,2.497,915445.0,283961.0
2019-11-01,2.48,814066.0,260326.0
2019-12-01,2.469,791316.0,261757.0
2020-01-01,2.459,815015.0,260847.0
2020-02-01,2.348,788599.0,242695.0
2020-03-01,2.126,505660.0,226638.0
2020-04-01,1.721,171450.0,167617.0
2020-05-01,1.769,200586.0,221006.0
2020-06-01,1.998,256196.0,250330.0
2020-07-01,2.099,306701.0,265550.0
2020-08-01,2.093,318609.0,265060.0
2020-09-01,2.095,331020.0,257531.0
2020-10-01,2.073,351338.0,266596.0
2020-11-01,2.015,311158.0,238300.0
2020-12-01,2.105,309585.0,241451.0
2021-01-01,2.244,292833.0,231030.0
2021-02-01,2.412,275803.0,213038.0
2021-03-01,2.725,348362.0,269426.0
2021-04-01,2.771,352408.0,259189.0
2021-05-01,2.885,374085.0,284326.0
2021-06-01,2.964,409972.0,286898.0
2021-07-01,3.044,422823.0,296430.0
2021-08-01,3.062,428121.0,287347.0
2021-09-01,3.081,463392.0,278076.0
2021-10-01,3.193,500296.0,285746.0
2021-11-01,3.275,468461.0,267749.0
2021-12-01,3.168,449964.0,268420.0
2022-01-01,3.187,388473.0,240556.0
2022-02-01,3.4,424390.0,235737.0
2022-03-01,4.078,509555.0,277239.0
2022-04-01,3.96,504838.0,263204.0
2022-05-01,4.272,515818.0,288197.0
2022-06-01,4.764,521096.0,282503.0
2022-07-01,4.413,494454.0,287033.0
2022-08-01,3.822,531973.0,289352.0
2022-09-01,3.563,561614.0,280847.0
2022-10-01,3.637,.,.
2022-11-01,3.53,.,.
